Trait,Sex,Trait guild,Trait description,Reference
1-kestose.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linolenoyl-GPC (18:3).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linolenoyl-GPC (18:3).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPA (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPA (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPC (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPC (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPE (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPE (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPG (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPG (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPI (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPI (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPS (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-GPS (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoylglycerol (18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoylglycerol (18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methyladenine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methyladenine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylhistamine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylhistamine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylhistidine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylhistidine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylimidazoleacetate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylimidazoleacetate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylurate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-methylurate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-glycerol (18:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-glycerol (18:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPC (18:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPC (18:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPE (18:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPE (18:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPI (18:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-2-linoleoyl-GPI (18:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-3-linoleoyl-glycerol (18:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-3-linoleoyl-glycerol (18:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPA (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPA (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPC (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPC (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPE (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPE (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPG (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPG (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPI (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPI (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPS (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-oleoyl-GPS (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-linolenoyl-GPC (16:1_18:3).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-linolenoyl-GPC (16:1_18:3).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-linoleoyl-GPC (16:1_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-linoleoyl-GPC (16:1_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-oleoyl-glycerol (16:1_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-2-oleoyl-glycerol (16:1_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-3-oleoyl-glycerol (16:1_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-3-oleoyl-glycerol (16:1_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-GPC (16:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoleoyl-GPC (16:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linolenoyl-galactosylglycerol (16:0_18:3).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linolenoyl-galactosylglycerol (16:0_18:3).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-glycerol (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-glycerol (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPC (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPC (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPE (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPE (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPI (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-linoleoyl-GPI (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-oleoyl-GPC (16:0_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-oleoyl-GPC (16:0_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-oleoyl-GPE (16:0_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-oleoyl-GPE (16:0_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-palmitoleoyl-GPC (16:0_16:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-palmitoleoyl-GPC (16:0_16:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-stearoyl-GPC (16:0_18:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-2-stearoyl-GPC (16:0_18:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-3-linoleoyl-glycerol (16:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-3-linoleoyl-glycerol (16:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPA (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPA (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPC (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPC (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPE (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPE (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPG (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPG (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPI (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-palmitoyl-GPI (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-linoleoyl-GPC (18:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-linoleoyl-GPC (18:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-linoleoyl-GPE (18:0_18:2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-linoleoyl-GPE (18:0_18:2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-oleoyl-GPC (18:0_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-oleoyl-GPC (18:0_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-oleoyl-GPE (18:0_18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-2-oleoyl-GPE (18:0_18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-GPC (18:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-GPC (18:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-GPE (18:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-stearoyl-GPE (18:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-galactosylglycerol (18:2_18:2).f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-galactosylglycerol (18:2_18:2).m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPC (18:2_18:2).f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPC (18:2_18:2).m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPE (18:2_18:2).f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPE (18:2_18:2).m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPC (18:1_18:1).f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPC (18:1_18:1).m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPE (18:1_18:1).f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPE (18:1_18:1).m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
